,file_name,measure_name,time_slice_start,time_slice_end,agg_type,measure_value,5.4.1
127,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_5,40,240,st dev,0.1910765548440631,
128,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,SpdEngine,40,240,max,2004.5,
129,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,SpdEngine,40,240,mean,1996.629353233831,
130,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,SpdEngine,40,240,min,1991.5,
131,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,SpdEngine,40,240,st dev,2.661072918881027,
132,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,max,1953.0,
133,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,mean,1940.6915422885572,
134,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,min,1917.0,
135,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,st dev,8.900807722305474,
136,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,AcceleratedDOCInletTemperature,40,260,max,468.6231,
137,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,AcceleratedDOCInletTemperature,40,260,mean,468.15297990909096,
138,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,AcceleratedDOCInletTemperature,40,260,min,467.76022,
139,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,AcceleratedDOCInletTemperature,40,260,st dev,0.17593086134216182,
140,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,PercentLoadAtCurrentSpeed,40,260,max,100.0,
141,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,PercentLoadAtCurrentSpeed,40,260,mean,100.0,
142,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,PercentLoadAtCurrentSpeed,40,260,min,100.0,
